path	head	branch	detached	locked	prunable	exists	nested_under	nested_children	nested_layout	owner	processes	sessions	active_refs	dirty_state	dirty_count	merged	remote_reachable	commit_age_days	path_age_days	size_mib	size_state	janitor_candidate	stale_candidate	category
/home/ds/gascity	58e0b8dbbece37194f8187ac9523bd4aa85d178a	_pr1945_check	False	False	False	True		4	false	shared-primary/human	169359:sh:cwd;169365:amp:cwd;169858:node:cwd;169867:npm:cwd;169870:sed:cwd;169884:node:cwd;170688:sh:cwd;170689:node:cwd;2771091:sh:cwd;2771098:gc:cwd;3001570:node:fd;4075141:node:fd;4075156:node:fd	gc-517911:active:gascity-maintenance-pl;gc-524454:active:core__control-dispatcher-gc-524454	rig:gascity:gc-2h7b:open;rig:gascity:gc-nukq:in_progress	dirty	10	no	no	70.35	0.25	3247.0	measured	False	False	preservation-required-wip
/home/ds/gascity-6xzc	92119a561f34f5a60d5cea71c6d9997cd33415ea		True	False	False	True		0	false	unknown/manual			rig:gascity:gc-6xzc:open	clean	0	no	no	0.82	0.01	74.0	measured	False	False	preservation-required-wip
/home/ds/gascity-baseline-main	bd299ed1d110f176cfeffb23e3589219421933bc		True	False	False	True		0	false	unknown/manual				clean	0	yes	yes	5.12	5.07	69.9	measured	False	False	safe-cleanup-candidate
/home/ds/gascity-main	92119a561f34f5a60d5cea71c6d9997cd33415ea	main	False	False	False	True		0	false	gcsync-installed-binary	1967003:tmux:cwd;2924071:tmux:cwd;3781997:tmux:cwd;751586:dolt:fd			clean	0	no	no	0.82	0.83	583.8	measured	False	False	preservation-required-wip
/home/ds/gascity-main-2h7b	4169ba4a21131c0c19784c21dd6b0629d473a121		True	False	False	True		0	false	unknown/manual				clean	0	yes	yes	1.39	1.27	73.6	measured	False	False	safe-cleanup-candidate
/home/ds/gascity-nukq	92119a561f34f5a60d5cea71c6d9997cd33415ea		True	False	False	True		0	false	unknown/manual				clean	0	no	no	0.82	0.01	74.0	measured	False	False	preservation-required-wip
/home/ds/gascity-pr-4075-bug-wrong-option-for-mimocode	9b6d91e1755ab968a66c7b30a53be9a626c17c9b	fix/4075-bug-wrong-option-for-mimocode	False	False	False	True		0	false	pr-review-workflow				clean	0	yes	yes	7.39	7.36	64.0	measured	False	True	safe-cleanup-candidate
/home/ds/gascity-pr-4093-bug-provider-spend-limit-modal-can-wedge	9b6d91e1755ab968a66c7b30a53be9a626c17c9b	fix/4093-bug-provider-spend-limit-modal-can-wedge	False	False	False	True		0	false	pr-review-workflow				clean	0	yes	yes	7.39	7.36	64.0	measured	False	True	safe-cleanup-candidate
/home/ds/gascity-pr-4094-adopt	ec2b019ada32bc8d8bf8a268efbd7305a9c3ae7f	pr-4094-head	False	False	False	True		0	false	pr-review-workflow				clean	0	no	no	6.92	6.93	59.9	measured	False	False	preservation-required-wip
/home/ds/gascity-pr-4102-pinned-named-critical-sessions-need-grac	9b6d91e1755ab968a66c7b30a53be9a626c17c9b	fix/4102-pinned-named-critical-sessions-need-grac	False	False	False	True		0	false	pr-review-workflow				clean	0	yes	yes	7.39	7.36	64.0	measured	False	True	safe-cleanup-candidate
/home/ds/gascity-pr-attach-prime	bd299ed1d110f176cfeffb23e3589219421933bc	fix/session-attach-delivers-startup-prompt	False	False	False	True		0	false	pr-review-workflow	1722013:tmux:cwd;3966034:dolt:fd;972255:tmux:cwd			dirty	6	yes	yes	5.12	5.09	312.0	measured	False	False	preservation-required-wip
/home/ds/gascity-pr-finalize-toctou	bd9bc704e388e0a8d9a673420d1118bba056c8a2	fix/finalize-cancel-toctou	False	False	False	True		0	false	pr-review-workflow	1041610:tmux:cwd;1672676:dolt:fd;1766964:node:cwd;1766994:node:cwd;1767021:codex:cwd;1780110:codex-code-mode-host:cwd;3747739:tmux:cwd			clean	0	no	yes	4.93	5.01	312.0	measured	False	False	preservation-required-wip
/home/ds/gascity-pr-graphv2-rootonly-finalize	a0c3b887e35b09e2ca2e5ee36457138591b93540	fix/graphv2-rootonly-finalize	False	False	False	True		0	false	pr-review-workflow	217575:tmux:cwd;2822284:node:cwd;2822369:node:cwd;2822456:codex:cwd;2830267:codex-code-mode-host:cwd;3727973:dolt:fd			clean	0	no	yes	5.15	5.22	312.0	measured	False	False	preservation-required-wip
/home/ds/gascity-priority-band	6512cc5a5d3dbab853a70bfc8924b7fbbb3b4502	feat/priority-band-work-admission	False	False	False	True		0	false	unknown/manual	1736382:dolt:fd;499004:tmux:cwd			clean	0	no	yes	4.96	4.97	70.0	measured	False	False	preservation-required-wip
/home/ds/gascity-worktrees/bd-gc-4zb	c2156faa9534ecd9a6cd1f917067a80bdeb36e7e	bd-gc-4zb	False	False	False	True		0	false	manual-or-specialized-workflow	254798:tmux:cwd;2935180:tmux:cwd;3436902:tmux:cwd;71248:dolt:fd			clean	0	no	yes	3.06	3.06	70.3	measured	False	False	preservation-required-wip
/home/ds/gascity-worktrees/bump-beads-readtx	6832abeb3427b9c8f1de1ba2ed54b3207be2bbc6	chore/bump-beads-readtx	False	False	False	True		0	false	manual-or-specialized-workflow				clean	0	no	yes	28.46	28.46	286.0	measured	False	False	preservation-required-wip
